Namespace(batch_size=64, beta1=0.5, cuda=False, data_path='../data/', dataset='cifar10', direction='b2a', epoch_count=1, input_nc=3, lamb=10, lr=0.0002, lr_decay_iters=50, lr_policy='lambda', ndf=8, ngf=8, niter=100, niter_decay=100, output_nc=3, result_path='../results/', seed=123, test_batch_size=1, threads=4)
===> Loading datasets
===> Building models
initialize network with normal
Load existing models
===> Epoch[1](1/390): Loss_G: 0.1255
===> Epoch[1](2/390): Loss_G: 0.1250
===> Epoch[1](3/390): Loss_G: 0.0891
===> Epoch[1](4/390): Loss_G: 0.1034
===> Epoch[1](5/390): Loss_G: 0.1267
===> Epoch[1](6/390): Loss_G: 0.1092
===> Epoch[1](7/390): Loss_G: 0.1046
===> Epoch[1](8/390): Loss_G: 0.0987
===> Epoch[1](9/390): Loss_G: 0.0791
===> Epoch[1](10/390): Loss_G: 0.1164
===> Epoch[1](11/390): Loss_G: 0.0966
===> Epoch[1](12/390): Loss_G: 0.0963
===> Epoch[1](13/390): Loss_G: 0.1212
===> Epoch[1](14/390): Loss_G: 0.0853
===> Epoch[1](15/390): Loss_G: 0.1053
===> Epoch[1](16/390): Loss_G: 0.1111
===> Epoch[1](17/390): Loss_G: 0.1112
===> Epoch[1](18/390): Loss_G: 0.0957
===> Epoch[1](19/390): Loss_G: 0.0914
===> Epoch[1](20/390): Loss_G: 0.0929
===> Epoch[1](21/390): Loss_G: 0.1051
===> Epoch[1](22/390): Loss_G: 0.1552
===> Epoch[1](23/390): Loss_G: 0.0865
===> Epoch[1](24/390): Loss_G: 0.0916
===> Epoch[1](25/390): Loss_G: 0.1006
===> Epoch[1](26/390): Loss_G: 0.1191
===> Epoch[1](27/390): Loss_G: 0.0887
===> Epoch[1](28/390): Loss_G: 0.0922
===> Epoch[1](29/390): Loss_G: 0.0876
===> Epoch[1](30/390): Loss_G: 0.1188
===> Epoch[1](31/390): Loss_G: 0.1248
===> Epoch[1](32/390): Loss_G: 0.0987
===> Epoch[1](33/390): Loss_G: 0.1290
===> Epoch[1](34/390): Loss_G: 0.0870
===> Epoch[1](35/390): Loss_G: 0.0876
===> Epoch[1](36/390): Loss_G: 0.0997
===> Epoch[1](37/390): Loss_G: 0.1012
===> Epoch[1](38/390): Loss_G: 0.1021
===> Epoch[1](39/390): Loss_G: 0.0920
===> Epoch[1](40/390): Loss_G: 0.0973
