{'target': {'mean': array([-0.4510391], dtype=float32), 'std': array([0.38355893], dtype=float32), 'min': array([-4.1388025], dtype=float32), 'max': array([3.3192787], dtype=float32)}, 'input': {'mean': array([-0.39840052], dtype=float32), 'std': array([0.27414468], dtype=float32), 'min': array([-0.5], dtype=float32), 'max': array([0.5], dtype=float32)}}
Dataset: 60000, 45000
initialize network with normal
===> Epoch[1](0/704): MSE-pixel: 2.0551
===> Epoch[1](30/704): MSE-pixel: 0.6739
===> Epoch[1](60/704): MSE-pixel: 0.6505
===> Epoch[1](90/704): MSE-pixel: 0.5415
===> Epoch[1](120/704): MSE-pixel: 0.5254
===> Epoch[1](150/704): MSE-pixel: 0.5287
===> Epoch[1](180/704): MSE-pixel: 0.4789
===> Epoch[1](210/704): MSE-pixel: 0.4597
===> Epoch[1](240/704): MSE-pixel: 0.4854
===> Epoch[1](270/704): MSE-pixel: 0.4202
===> Epoch[1](300/704): MSE-pixel: 0.4580
===> Epoch[1](330/704): MSE-pixel: 0.4077
===> Epoch[1](360/704): MSE-pixel: 0.4021
===> Epoch[1](390/704): MSE-pixel: 0.3962
===> Epoch[1](420/704): MSE-pixel: 0.3655
===> Epoch[1](450/704): MSE-pixel: 0.3916
===> Epoch[1](480/704): MSE-pixel: 0.3992
===> Epoch[1](510/704): MSE-pixel: 0.3672
===> Epoch[1](540/704): MSE-pixel: 0.3779
===> Epoch[1](570/704): MSE-pixel: 0.3379
===> Epoch[1](600/704): MSE-pixel: 0.3748
===> Epoch[1](630/704): MSE-pixel: 0.3933
===> Epoch[1](660/704): MSE-pixel: 0.3661
===> Epoch[1](690/704): MSE-pixel: 0.3791
learning rate = 0.0010000
Saving
===> Epoch[2](0/704): MSE-pixel: 0.3768
===> Epoch[2](30/704): MSE-pixel: 0.3270
===> Epoch[2](60/704): MSE-pixel: 0.3452
===> Epoch[2](90/704): MSE-pixel: 0.4020
===> Epoch[2](120/704): MSE-pixel: 0.3365
===> Epoch[2](150/704): MSE-pixel: 0.3478
===> Epoch[2](180/704): MSE-pixel: 0.3468
===> Epoch[2](210/704): MSE-pixel: 0.3435
===> Epoch[2](240/704): MSE-pixel: 0.3391
===> Epoch[2](270/704): MSE-pixel: 0.3663
===> Epoch[2](300/704): MSE-pixel: 0.3205
===> Epoch[2](330/704): MSE-pixel: 0.3239
===> Epoch[2](360/704): MSE-pixel: 0.3001
===> Epoch[2](390/704): MSE-pixel: 0.3286
===> Epoch[2](420/704): MSE-pixel: 0.3494
===> Epoch[2](450/704): MSE-pixel: 0.3647
===> Epoch[2](480/704): MSE-pixel: 0.3180
===> Epoch[2](510/704): MSE-pixel: 0.3147
===> Epoch[2](540/704): MSE-pixel: 0.3120
===> Epoch[2](570/704): MSE-pixel: 0.2979
===> Epoch[2](600/704): MSE-pixel: 0.2768
===> Epoch[2](630/704): MSE-pixel: 0.3001
===> Epoch[2](660/704): MSE-pixel: 0.2993
===> Epoch[2](690/704): MSE-pixel: 0.2979
learning rate = 0.0010000
===> Epoch[3](0/704): MSE-pixel: 0.3136
===> Epoch[3](30/704): MSE-pixel: 0.2734
===> Epoch[3](60/704): MSE-pixel: 0.2599
===> Epoch[3](90/704): MSE-pixel: 0.2847
===> Epoch[3](120/704): MSE-pixel: 0.2806
===> Epoch[3](150/704): MSE-pixel: 0.3099
===> Epoch[3](180/704): MSE-pixel: 0.2887
===> Epoch[3](210/704): MSE-pixel: 0.2861
===> Epoch[3](240/704): MSE-pixel: 0.2737
===> Epoch[3](270/704): MSE-pixel: 0.2962
===> Epoch[3](300/704): MSE-pixel: 0.3112
