{'target': {'mean': array([0.6559602], dtype=float32), 'std': array([2.6216261], dtype=float32), 'min': array([-11.30689], dtype=float32), 'max': array([22.927853], dtype=float32)}, 'input': {'mean': array([-0.3984012], dtype=float32), 'std': array([0.27414447], dtype=float32), 'min': array([-0.5], dtype=float32), 'max': array([0.5], dtype=float32)}}
Dataset: 60000, 45000
initialize network with normal
../results/fusion/checkpoints/mnist_vanilla_4.pth
===> Epoch[1](0/704): MSE-pixel: 0.0498
===> Epoch[1](30/704): MSE-pixel: 0.0452
===> Epoch[1](60/704): MSE-pixel: 0.0472
===> Epoch[1](90/704): MSE-pixel: 0.0463
===> Epoch[1](120/704): MSE-pixel: 0.0445
===> Epoch[1](150/704): MSE-pixel: 0.0455
===> Epoch[1](180/704): MSE-pixel: 0.0452
===> Epoch[1](210/704): MSE-pixel: 0.0460
===> Epoch[1](240/704): MSE-pixel: 0.0510
===> Epoch[1](270/704): MSE-pixel: 0.0466
===> Epoch[1](300/704): MSE-pixel: 0.0474
===> Epoch[1](330/704): MSE-pixel: 0.0434
===> Epoch[1](360/704): MSE-pixel: 0.0483
===> Epoch[1](390/704): MSE-pixel: 0.0461
===> Epoch[1](420/704): MSE-pixel: 0.0452
===> Epoch[1](450/704): MSE-pixel: 0.0471
===> Epoch[1](480/704): MSE-pixel: 0.0480
===> Epoch[1](510/704): MSE-pixel: 0.0492
===> Epoch[1](540/704): MSE-pixel: 0.0463
===> Epoch[1](570/704): MSE-pixel: 0.0425
===> Epoch[1](600/704): MSE-pixel: 0.0450
===> Epoch[1](630/704): MSE-pixel: 0.0467
===> Epoch[1](660/704): MSE-pixel: 0.0451
===> Epoch[1](690/704): MSE-pixel: 0.0471
learning rate = 0.0010000
Saving
===> Epoch[2](0/704): MSE-pixel: 0.0503
===> Epoch[2](30/704): MSE-pixel: 0.0405
===> Epoch[2](60/704): MSE-pixel: 0.0429
===> Epoch[2](90/704): MSE-pixel: 0.0459
===> Epoch[2](120/704): MSE-pixel: 0.0432
===> Epoch[2](150/704): MSE-pixel: 0.0439
===> Epoch[2](180/704): MSE-pixel: 0.0415
===> Epoch[2](210/704): MSE-pixel: 0.0426
===> Epoch[2](240/704): MSE-pixel: 0.0429
===> Epoch[2](270/704): MSE-pixel: 0.0461
===> Epoch[2](300/704): MSE-pixel: 0.0431
===> Epoch[2](330/704): MSE-pixel: 0.0430
===> Epoch[2](360/704): MSE-pixel: 0.0438
===> Epoch[2](390/704): MSE-pixel: 0.0423
===> Epoch[2](420/704): MSE-pixel: 0.0429
===> Epoch[2](450/704): MSE-pixel: 0.0474
===> Epoch[2](480/704): MSE-pixel: 0.0455
===> Epoch[2](510/704): MSE-pixel: 0.0456
===> Epoch[2](540/704): MSE-pixel: 0.0433
===> Epoch[2](570/704): MSE-pixel: 0.0430
===> Epoch[2](600/704): MSE-pixel: 0.0429
===> Epoch[2](630/704): MSE-pixel: 0.0477
===> Epoch[2](660/704): MSE-pixel: 0.0456
===> Epoch[2](690/704): MSE-pixel: 0.0418
learning rate = 0.0010000
===> Epoch[3](0/704): MSE-pixel: 0.0478
===> Epoch[3](30/704): MSE-pixel: 0.0414
===> Epoch[3](60/704): MSE-pixel: 0.0419
===> Epoch[3](90/704): MSE-pixel: 0.0407
===> Epoch[3](120/704): MSE-pixel: 0.0421
===> Epoch[3](150/704): MSE-pixel: 0.0437
===> Epoch[3](180/704): MSE-pixel: 0.0450
===> Epoch[3](210/704): MSE-pixel: 0.0430
===> Epoch[3](240/704): MSE-pixel: 0.0456
===> Epoch[3](270/704): MSE-pixel: 0.0436
===> Epoch[3](300/704): MSE-pixel: 0.0440
===> Epoch[3](330/704): MSE-pixel: 0.0440
===> Epoch[3](360/704): MSE-pixel: 0.0439
===> Epoch[3](390/704): MSE-pixel: 0.0438
===> Epoch[3](420/704): MSE-pixel: 0.0439
===> Epoch[3](450/704): MSE-pixel: 0.0422
===> Epoch[3](480/704): MSE-pixel: 0.0433
===> Epoch[3](510/704): MSE-pixel: 0.0445
===> Epoch[3](540/704): MSE-pixel: 0.0433
===> Epoch[3](570/704): MSE-pixel: 0.0428
===> Epoch[3](600/704): MSE-pixel: 0.0440
===> Epoch[3](630/704): MSE-pixel: 0.0441
===> Epoch[3](660/704): MSE-pixel: 0.0425
===> Epoch[3](690/704): MSE-pixel: 0.0415
learning rate = 0.0010000
===> Epoch[4](0/704): MSE-pixel: 0.0475
===> Epoch[4](30/704): MSE-pixel: 0.0429
===> Epoch[4](60/704): MSE-pixel: 0.0415
===> Epoch[4](90/704): MSE-pixel: 0.0430
===> Epoch[4](120/704): MSE-pixel: 0.0418
===> Epoch[4](150/704): MSE-pixel: 0.0422
===> Epoch[4](180/704): MSE-pixel: 0.0421
===> Epoch[4](210/704): MSE-pixel: 0.0412
===> Epoch[4](240/704): MSE-pixel: 0.0410
===> Epoch[4](270/704): MSE-pixel: 0.0407
===> Epoch[4](300/704): MSE-pixel: 0.0409
===> Epoch[4](330/704): MSE-pixel: 0.0407
===> Epoch[4](360/704): MSE-pixel: 0.0426
===> Epoch[4](390/704): MSE-pixel: 0.0414
===> Epoch[4](420/704): MSE-pixel: 0.0481
===> Epoch[4](450/704): MSE-pixel: 0.0419
===> Epoch[4](480/704): MSE-pixel: 0.0469
===> Epoch[4](510/704): MSE-pixel: 0.0438
===> Epoch[4](540/704): MSE-pixel: 0.0425
===> Epoch[4](570/704): MSE-pixel: 0.0419
===> Epoch[4](600/704): MSE-pixel: 0.0427
===> Epoch[4](630/704): MSE-pixel: 0.0424
===> Epoch[4](660/704): MSE-pixel: 0.0452
===> Epoch[4](690/704): MSE-pixel: 0.0445
learning rate = 0.0010000
===> Epoch[5](0/704): MSE-pixel: 0.0460
===> Epoch[5](30/704): MSE-pixel: 0.0411
