{'target': {'mean': array([-0.5029429], dtype=float32), 'std': array([0.6241994], dtype=float32), 'min': array([-5.971551], dtype=float32), 'max': array([4.968335], dtype=float32)}, 'input': {'mean': array([-0.39840025], dtype=float32), 'std': array([0.2741448], dtype=float32), 'min': array([-0.5], dtype=float32), 'max': array([0.5], dtype=float32)}}
Dataset: 60000, 45000
initialize network with normal
===> Epoch[1](0/704): MSE-pixel: 1.9525
===> Epoch[1](30/704): MSE-pixel: 0.6242
===> Epoch[1](60/704): MSE-pixel: 0.5692
===> Epoch[1](90/704): MSE-pixel: 0.5758
===> Epoch[1](120/704): MSE-pixel: 0.5731
===> Epoch[1](150/704): MSE-pixel: 0.5263
===> Epoch[1](180/704): MSE-pixel: 0.5330
===> Epoch[1](210/704): MSE-pixel: 0.5005
===> Epoch[1](240/704): MSE-pixel: 0.5003
===> Epoch[1](270/704): MSE-pixel: 0.4887
===> Epoch[1](300/704): MSE-pixel: 0.4985
===> Epoch[1](330/704): MSE-pixel: 0.4956
===> Epoch[1](360/704): MSE-pixel: 0.4576
===> Epoch[1](390/704): MSE-pixel: 0.4526
===> Epoch[1](420/704): MSE-pixel: 0.4443
===> Epoch[1](450/704): MSE-pixel: 0.4529
===> Epoch[1](480/704): MSE-pixel: 0.4648
===> Epoch[1](510/704): MSE-pixel: 0.4696
===> Epoch[1](540/704): MSE-pixel: 0.4519
===> Epoch[1](570/704): MSE-pixel: 0.4456
===> Epoch[1](600/704): MSE-pixel: 0.4248
===> Epoch[1](630/704): MSE-pixel: 0.4553
===> Epoch[1](660/704): MSE-pixel: 0.4292
===> Epoch[1](690/704): MSE-pixel: 0.4320
learning rate = 0.0100000
Saving
===> Epoch[2](0/704): MSE-pixel: 0.4161
===> Epoch[2](30/704): MSE-pixel: 0.4120
===> Epoch[2](60/704): MSE-pixel: 0.4185
===> Epoch[2](90/704): MSE-pixel: 0.4114
===> Epoch[2](120/704): MSE-pixel: 0.4290
===> Epoch[2](150/704): MSE-pixel: 0.4183
===> Epoch[2](180/704): MSE-pixel: 0.4032
===> Epoch[2](210/704): MSE-pixel: 0.4308
===> Epoch[2](240/704): MSE-pixel: 0.4133
===> Epoch[2](270/704): MSE-pixel: 0.3961
===> Epoch[2](300/704): MSE-pixel: 0.4276
===> Epoch[2](330/704): MSE-pixel: 0.4078
===> Epoch[2](360/704): MSE-pixel: 0.4099
===> Epoch[2](390/704): MSE-pixel: 0.3948
===> Epoch[2](420/704): MSE-pixel: 0.4169
===> Epoch[2](450/704): MSE-pixel: 0.3854
===> Epoch[2](480/704): MSE-pixel: 0.4034
===> Epoch[2](510/704): MSE-pixel: 0.4050
===> Epoch[2](540/704): MSE-pixel: 0.3832
===> Epoch[2](570/704): MSE-pixel: 0.3819
===> Epoch[2](600/704): MSE-pixel: 0.4001
===> Epoch[2](630/704): MSE-pixel: 0.4164
===> Epoch[2](660/704): MSE-pixel: 0.3907
===> Epoch[2](690/704): MSE-pixel: 0.4034
learning rate = 0.0100000
===> Epoch[3](0/704): MSE-pixel: 0.4013
===> Epoch[3](30/704): MSE-pixel: 0.3881
===> Epoch[3](60/704): MSE-pixel: 0.4091
===> Epoch[3](90/704): MSE-pixel: 0.3907
===> Epoch[3](120/704): MSE-pixel: 0.3972
===> Epoch[3](150/704): MSE-pixel: 0.3864
===> Epoch[3](180/704): MSE-pixel: 0.3792
===> Epoch[3](210/704): MSE-pixel: 0.3860
===> Epoch[3](240/704): MSE-pixel: 0.3680
===> Epoch[3](270/704): MSE-pixel: 0.3934
===> Epoch[3](300/704): MSE-pixel: 0.3726
===> Epoch[3](330/704): MSE-pixel: 0.3994
===> Epoch[3](360/704): MSE-pixel: 0.3782
===> Epoch[3](390/704): MSE-pixel: 0.3935
===> Epoch[3](420/704): MSE-pixel: 0.4070
===> Epoch[3](450/704): MSE-pixel: 0.4067
===> Epoch[3](480/704): MSE-pixel: 0.3774
===> Epoch[3](510/704): MSE-pixel: 0.3787
===> Epoch[3](540/704): MSE-pixel: 0.3865
===> Epoch[3](570/704): MSE-pixel: 0.3889
===> Epoch[3](600/704): MSE-pixel: 0.3869
===> Epoch[3](630/704): MSE-pixel: 0.3853
===> Epoch[3](660/704): MSE-pixel: 0.4016
===> Epoch[3](690/704): MSE-pixel: 0.3795
learning rate = 0.0100000
===> Epoch[4](0/704): MSE-pixel: 0.3902
===> Epoch[4](30/704): MSE-pixel: 0.3595
===> Epoch[4](60/704): MSE-pixel: 0.3781
===> Epoch[4](90/704): MSE-pixel: 0.3817
===> Epoch[4](120/704): MSE-pixel: 0.3773
===> Epoch[4](150/704): MSE-pixel: 0.3756
===> Epoch[4](180/704): MSE-pixel: 0.3830
===> Epoch[4](210/704): MSE-pixel: 0.4067
===> Epoch[4](240/704): MSE-pixel: 0.3895
===> Epoch[4](270/704): MSE-pixel: 0.4024
===> Epoch[4](300/704): MSE-pixel: 0.3891
===> Epoch[4](330/704): MSE-pixel: 0.3618
===> Epoch[4](360/704): MSE-pixel: 0.3644
===> Epoch[4](390/704): MSE-pixel: 0.3789
===> Epoch[4](420/704): MSE-pixel: 0.3916
===> Epoch[4](450/704): MSE-pixel: 0.3703
===> Epoch[4](480/704): MSE-pixel: 0.3652
===> Epoch[4](510/704): MSE-pixel: 0.3545
===> Epoch[4](540/704): MSE-pixel: 0.3894
===> Epoch[4](570/704): MSE-pixel: 0.3895
===> Epoch[4](600/704): MSE-pixel: 0.3604
===> Epoch[4](630/704): MSE-pixel: 0.3778
===> Epoch[4](660/704): MSE-pixel: 0.3649
===> Epoch[4](690/704): MSE-pixel: 0.3599
learning rate = 0.0100000
===> Epoch[5](0/704): MSE-pixel: 0.3754
===> Epoch[5](30/704): MSE-pixel: 0.3823
===> Epoch[5](60/704): MSE-pixel: 0.3702
===> Epoch[5](90/704): MSE-pixel: 0.3714
===> Epoch[5](120/704): MSE-pixel: 0.3698
===> Epoch[5](150/704): MSE-pixel: 0.3693
===> Epoch[5](180/704): MSE-pixel: 0.3719
===> Epoch[5](210/704): MSE-pixel: 0.3568
===> Epoch[5](240/704): MSE-pixel: 0.3707
===> Epoch[5](270/704): MSE-pixel: 0.3743
===> Epoch[5](300/704): MSE-pixel: 0.3584
===> Epoch[5](330/704): MSE-pixel: 0.3515
===> Epoch[5](360/704): MSE-pixel: 0.3452
===> Epoch[5](390/704): MSE-pixel: 0.3610
===> Epoch[5](420/704): MSE-pixel: 0.3593
===> Epoch[5](450/704): MSE-pixel: 0.3685
===> Epoch[5](480/704): MSE-pixel: 0.3722
===> Epoch[5](510/704): MSE-pixel: 0.3562
===> Epoch[5](540/704): MSE-pixel: 0.3556
===> Epoch[5](570/704): MSE-pixel: 0.3353
===> Epoch[5](600/704): MSE-pixel: 0.3737
===> Epoch[5](630/704): MSE-pixel: 0.3723
===> Epoch[5](660/704): MSE-pixel: 0.3882
===> Epoch[5](690/704): MSE-pixel: 0.3386
learning rate = 0.0100000
===> Epoch[6](0/704): MSE-pixel: 0.3595
===> Epoch[6](30/704): MSE-pixel: 0.3757
===> Epoch[6](60/704): MSE-pixel: 0.3769
===> Epoch[6](90/704): MSE-pixel: 0.3808
===> Epoch[6](120/704): MSE-pixel: 0.3641
===> Epoch[6](150/704): MSE-pixel: 0.3691
===> Epoch[6](180/704): MSE-pixel: 0.3665
===> Epoch[6](210/704): MSE-pixel: 0.3625
===> Epoch[6](240/704): MSE-pixel: 0.3503
===> Epoch[6](270/704): MSE-pixel: 0.3957
===> Epoch[6](300/704): MSE-pixel: 0.3498
===> Epoch[6](330/704): MSE-pixel: 0.3625
===> Epoch[6](360/704): MSE-pixel: 0.3677
===> Epoch[6](390/704): MSE-pixel: 0.3573
===> Epoch[6](420/704): MSE-pixel: 0.3448
===> Epoch[6](450/704): MSE-pixel: 0.3563
===> Epoch[6](480/704): MSE-pixel: 0.3640
===> Epoch[6](510/704): MSE-pixel: 0.3566
===> Epoch[6](540/704): MSE-pixel: 0.3376
===> Epoch[6](570/704): MSE-pixel: 0.3643
===> Epoch[6](600/704): MSE-pixel: 0.3679
===> Epoch[6](630/704): MSE-pixel: 0.3595
===> Epoch[6](660/704): MSE-pixel: 0.3478
===> Epoch[6](690/704): MSE-pixel: 0.3499
learning rate = 0.0100000
